Sno.,Text,Sentiment,Timestamp,User,Platform
1, Enjoying a beautiful day at the park!              ,0,1/15/2023 12:30, User123      ,Twitter 
2, Traffic was terrible this morning.                 ,1,1/15/2023 8:45, CommuterX    ,Twitter 
3, Just finished an amazing workout! 💪               ,0,1/15/2023 15:45, FitnessFan   ,Instagram 
4, Excited about the upcoming weekend getaway!        ,0,1/15/2023 18:20, AdventureX   ,Facebook 
5, Trying out a new recipe for dinner tonight.        ,2,1/15/2023 19:55, ChefCook     ,Instagram 
6, Feeling grateful for the little things in life.    ,0,1/16/2023 9:10, GratitudeNow ,Twitter 
7, Rainy days call for cozy blankets and hot cocoa.   ,0,1/16/2023 14:45, RainyDays    ,Facebook 
8, The new movie release is a must-watch!             ,0,1/16/2023 19:30, MovieBuff    ,Instagram 
9, Political discussions heating up on the timeline.  ,1,1/17/2023 8:00, DebateTalk   ,Twitter 
10, Missing summer vibes and beach days.               ,2,1/17/2023 12:20, BeachLover   ,Facebook 
11, Just published a new blog post. Check it out!      ,0,1/17/2023 15:15, BloggerX     ,Instagram 
12, Feeling a bit under the weather today.             ,1,1/18/2023 10:30, WellnessCheck,Twitter 
13, Exploring the city's hidden gems.                  ,0,1/18/2023 14:50, UrbanExplorer,Facebook 
14," New year, new fitness goals! 💪                    ",0,1/18/2023 18:00, FitJourney   ,Instagram 
15, Technology is changing the way we live.            ,2,1/19/2023 9:45, TechEnthusiast,Twitter 
16, Reflecting on the past and looking ahead.          ,0,1/19/2023 13:20, Reflections  ,Facebook 
17, Just adopted a cute furry friend! 🐾              ,0,1/19/2023 17:10, PetAdopter   ,Instagram 
18, Late-night gaming session with friends.            ,0,1/20/2023 0:05, GamerX       ,Twitter 
19, Attending a virtual conference on AI.              ,2,1/20/2023 11:30, TechConference,Facebook 
20, Winter blues got me feeling low.                   ,1,1/20/2023 15:15, WinterBlues  ,Instagram 
21, Sipping coffee and enjoying a good book.           ,0,1/21/2023 8:40, Bookworm     ,Twitter 
22, Exploring the world of virtual reality.            ,0,1/21/2023 13:20, VRExplorer   ,Facebook 
23, Productive day ticking off my to-do list.          ,0,1/21/2023 16:45, ProductivityPro,Instagram 
24, Just finished a challenging workout routine.       ,0,1/22/2023 9:15, FitnessWarrior,Twitter 
25, Celebrating a milestone at work! 🎉               ,0,1/22/2023 14:30, CareerMilestone,Facebook 
26, Sunday brunch with friends.                        ,0,1/22/2023 12:00, BrunchBuddy  ,Instagram 
27, Learning a new language for personal growth.       ,0,1/23/2023 16:20, LanguageLearner,Facebook 
28, Quiet evening with a good book.                    ,0,1/23/2023 19:45, BookLover    ,Instagram 
29, Cooking a special dinner for loved ones.           ,0,1/31/2023 19:00, ChefAtHome   ,Instagram 
30, Feeling optimistic about the week ahead.           ,0,1/31/2023 16:20, OptimisticMindset,Twitter 
31, Starting a new fitness challenge tomorrow! 💪     ,0,2/1/2023 8:00, FitnessChallenge,Facebook 
32, Sunday bike ride through scenic trails.           ,0,2/1/2023 13:30, BikeExplorer  ,Instagram 
33, Can't believe the injustice happening in our society.,1,2/11/2023 9:30, SocialJustice   ,Twitter 
34, Feeling a sense of fear after watching a thriller movie. ,1,2/11/2023 21:15, ThrillerFan     ,Instagram 
35, Heartbroken after hearing the news about a natural disaster. ,1,2/12/2023 14:45, EmpathyFirst    ,Facebook 
36, The state of the world's environment is just disgusting. ,1,2/12/2023 18:20, EcoAwareness    ,Twitter 
37, Pure happiness: celebrating a loved one's achievement! ,0,2/13/2023 10:00, ProudFriend     ,Instagram 
38, Laughter is the best medicine—enjoying a comedy show. ,0,2/13/2023 19:30, ComedyFan       ,Facebook 
39, Sharing love and positive vibes with everyone! ❤️      ,0,2/14/2023 8:30, LoveSpreader    ,Twitter 
40, An amusing incident brightened up my day!               ,0,2/14/2023 14:20, AmusedSoul      ,Instagram 
